English,IPA,Vietnamese
express,iks'pres,diễn tả biểu lộ bày tỏ; nhanh tốc hành
expression,iks'preʃn,sự diễn tả sự bày tỏ biểu lộ sự diễn đạt
extend,iks'tend,giơ duỗi ra (tay châ); kéo dài (thời gia) dành cho gửi lời
extension,ɪkstent ʃən,sự giơ duỗi; sự kéo dài sự dành cho gửi lời
extensive,iks´tensiv,rộng rãi bao quát
extent v,ɪkˈstɛnt,quy mô phạm vi
extra,ekstrə,thêm phụ ngoại; thứ thêm phụ
extraordinary,iks'trɔ:dnri,đặc biệt lạ thường khác thường
extreme,iks'tri:m,vô cùng khắc nghiệt quá khích cực đoan; sự quá khích
extremely,iks´tri:mli,vô cùng cực độ
eye,ai,mắt
face,feis,mặt thể diện; đương đầu đối phó đối mặt
facility,fəˈsɪlɪti,điều kiện dễ dàng sự dễ dàng thuận lợi
fact,fækt,việc sự việc sự kiện
factor,fæktə,nhân tố
factory,fæktəri,nhà máy xí nghiệp xưởng
fail,feil,sai thất bại
failure,ˈfeɪlyər,sự thất bại người thất bại
faint,feɪnt,nhút nhát yếu ớt
faintly,feintli,nhút nhát yếu ớt
fair,feə,hợp lý công bằng; thuận lợi
fairly,feəli,hợp lý công bằng
unfair,ʌn´fɛə,gian lận không công bằng; bất lợi
unfairly,ʌn´fɛəli,gian lận không công bằng; bất lợi
faith,feiθ,sự tin tưởng tin cậy; niềm tin vật đảm bảo
faithful,feiθful,trung thành chung thủy trung thực
faithfully,feiθfuli,trung thành chung thủy trung thực
fall,fɔl,rơi ngã sự rơi ngã
FALSE,fo:ls,sai nhầm giả dối
fame,feim,tên tuổi danh tiếng
familiar,fəˈmiliər,thân thiết quen thộc
family,ˈfæmili,gia đình thuộc gia đình
famous,feiməs,nổi tiếng
fan,fæn,người hâm mộ
fancy,ˈfænsi,tưởng tượng cho nghĩ rằng; tưởng tượng
far,fɑ:,xa
further,fə:ðə,xa hơn nữa; thêm nữa
farm,fa:m,trang trại
farming,fɑ:miɳ,công việc trồng trọt đồng áng
farmer,fɑ:mə(r),nông dân người chủ trại
fashion,fæ∫ən,mốt thời trang
fashionable,fæʃnəbl,đúng mốt hợp thời trang
fast,fa:st,nhanh
fasten,fɑ:sn,buộc trói
fat,fæt,béo béo bở; mỡ chất béo
father,fɑ:ðə,cha (bố)
faucet (NAmE),ˈfɔsɪt,vòi (ở thùng rượu )
fault,fɔ:lt,sự thiết sót sai sót
favour (BrE) (NAmE favor),feivз,thiện ý sự quý mến; sự đồng ý; sự chiếu cố
favourite (NAmE favorite),feivзrit,được ưa thích; người (vật) được ưa thích
fear,fɪər,sự sợ hãi e sợ; sợ lo ngại
feather,feðə,lông chim
feature,fi:tʃə,nét đặt biệt điểm đặc trưng; mô tả nét đặc biệt đặc trưng của
February (abbr Feb),´februəri,tháng 2
federal,fedərəl,liên bang
fee,fi:,tiền thù lao học phí
feed,fid,cho ăn nuôi
feel,fi:l,cảm thấy
feeling,fi:liɳ,sự cảm thấy cảm giác
fellow,felou,anh chàng (đang yêu) đồng chí
female,´fi:meil,thuộc giống cái; giống cái
fence,fens,hàng rào
festival,festivəl,lễ hội đại hội liên hoan
fetch,fetʃ,tìm về đem về; làm bực mình; làm say mê quyến rũ
fever,fi:və,cơn sốt bệnh sốt
few,fju:,ítvài; một ít một vài
field,fi:ld,cánh đồng bãi chiến trường
fight,fait,đấu tranh chiến đấu; sự đấu tranh cuộc chiến đấu
fighting,´faitiη,sự chiến đấu sự đấu tranh
figure,figə(r),hình dáng nhân vật; hình dung miêu tả
file,fail,hồ sơ tài liệu
fill,fil,làm đấy lấp kín
film,film,phim được dựng thành phim
final,fainl,cuối cùng cuộc đấu chung kết
finally,´fainəli,cuối cùng sau cùng
finance,fɪˈnæns ˈfaɪnæns,tài chính; tài trợ cấp vốn
financial,fai'næn∫l,thuộc (tài chính)
find,faind,tìm tìm thấy
fine,fain,tốt giỏi
finely,´fainli,đẹp đẽ tế nhị cao thượng
finger,fiɳgə,ngón tay
finished,ˈfɪnɪʃt,hoàn tất hoàn thành
fire,faiə,lửa; đốt cháy
firm,fə:m,hãng công ty; chắc kiên quyết vũng vàng mạnh mẽ
firmly,´fə:mli,vững chắc kiên quyết
first ordinal number,fə:st,thứ nhất đầu tiên trước hết; người vật đầu
fish,fɪʃ,cá món cá; câu cá bắt cá
fishing,´fiʃiη,sự câu cá sự đánh cá
fit,fit,hợp vừa; thích hợp xứng đáng
fix,fiks,đóng gắn lắp; sửa chữa sửa sang
flag,flæg,quốc kỳ
flame,fleim,ngọn lửa
flash,flæ∫,loé sáng vụt sáng; ánh sáng lóe lên đèn nháy
flat,flæt,bằng phẳng bẹt nhẵn; dãy phòng căn phòng mặt phẳng
flavour (BrE) (NAmE flavor),fleivə,vị mùi; cho gia vị làm tăng thêm mùi vị
flesh,fle∫,thịt
flight,flait,sự bỏ chạy rút chạy; sự bay chuyến bay
float,floʊt,nổi trôi lơ lửng
flood,flʌd,lụt lũ lụtl; tràn đầy tràn ngập
floor,flɔ:,sàn tầng (nhà)
flour,´flauə,bột bột mỳ
flow,flow,sự chảy; chảy
flower,flauə,hoa bông đóa cây hoa
flu,flu:,bệnh cúm
fly,flaɪ,bay; sự bay quãng đường bay
flying,´flaiiη,biết bay; sự bay chuyến bay
focus,foukəs,tập trung; trung tâm trọng tâm (bóng)
fold,foʊld,gấp vén xắn; nếp gấp
folding,´fouldiη,gấp lại được
follow,fɔlou,đi theo sau theo tiếp theo
following,´fɔlouiη,tiếp theo theo sau sau đây; sau tiếp theo
food,fu:d,đồ ăn thức món ăn
foot,fut,chân bàn chân
football,ˈfʊtˌbɔl,bóng đá
for,fɔ:fə,cho dành cho
force,fɔ:s,sức mạnh; ép buộc cưỡng ép
forecast,fɔ:'kɑ:st,sự dự đoán dự báo; dự đoán dự báo
foreign,fɔrin,(thuộc) nước ngoài từ nước ngoài ở nước ngoài
forest,forist,rừng
forever (BrE also for ever),fə'revə,mãi mãi
forget,fə'get,quên
forgive,fərˈgɪv,tha tha thứ
fork,fɔrk,cái nĩa
form,fɔ:m,hình thể hình dạng hình thức; làm thành được tạo thành
formal,fɔ:ml,hình thức
formally,fo:mзlaiz,chính thức
former,´fɔ:mə,trước cũ xưa nguyên
formerly,´fɔ:məli,trước đây thuở xưa
formula,fɔ:mjulə,công thức thể thức cách thức
fortune,ˈfɔrtʃən,sự giàu có sự thịnh vượng
forward (also forwards),ˈfɔrwərd,về tương lai sau này ở phía trước tiến về
forward,ˈfɔrwərd,ở phía trước tiến về phía trước
found,faund,(qk of find) tìm tìm thấy
foundation,faun'dei∫n,sự thành lập sự sáng lập; tổ chức
frame,freim,cấu trúc hệ thống; dàn xếp bố trí
free,fri:,miễn phí tự do giải phóng trả tự do
freely,´fri:li,tự do thoải mái
freedom,fri:dəm,sự tự do; nền tự do
freeze,fri:z,đóng băng đông lạnh
frozen,frouzn,lạnh giá
frequent,ˈfrikwənt,thường xuyên
frequently,´fri:kwəntli,thường xuyên
fresh,freʃ,tươi tươi tắn
freshly,´freʃli,tươi mát khỏe khoắn
Friday (abbr Fri),´fraidi,thứ Sáu
fridge (BrE),fridЗ,tủ lạnh
friend,frend,người bạn
friendly,´frendli,thân thiện thân mật
unfriendly,ʌn´frendli,không thân thiện không có thiện cảm
friendship,frendʃipn,tình bạn tình hữu nghị
frighten,ˈfraɪtn,làm sợ làm hoảng sợ
frightening,´fraiəniη,kinh khủng khủng khiếp
frightened,fraitnd,hoảng sợ khiếp sợ
from,frɔm,frəm
front,frʌnt,mặt; đằng trước về phía trước
freeze,fri:z,sự đông lạnh sự giá lạnh; làm đông làm đóng băng
fruit,fru:t,quả trái cây
fry,frai,rán chiên; thịt rán
fuel,ˈfyuəl,chất đốt nhiên liệu
full,ful,đầy đầy đủ
fully,´fuli,đầy đủ hoàn toàn
fun,fʌn,sự vui đùa sự vui thích; hài hước
function,ˈfʌŋkʃən,chức năng; họat động chạy (máy)
fund,fʌnd,kho quỹ; tài trợ tiền bạc để tiền vào công quỹ
fundamental,fʌndə'mentl,cơ bản cơ sở chủ yếu
funeral,ˈfju:nərəl,lễ tang đám tang
funny,´fʌni,buồn cười khôi hài
fur,fə:,bộ da lông thú
furniture,fə:nitʃə,đồ đạc (trong nhà)
future,fju:tʃə,tương lai
gain,geɪn,lợi lợi ích; giành được kiếm được đạt tới
gallon,gælən,Galông 1gl = 4 54 lít ở Anh 3 78 lít ở Mỹ
gamble,gæmbl,đánh bạc; cuộc đánh bạc
gambling,gæmbliɳ,trò cờ bạc
game,geim,trò chơi
gap,gæp,đèo lỗ hổng kẽ hở; chỗ trống
garage,´gæra:ʒ,nhà để ô tô
garbage (especially NAmE),ˈgɑrbɪdʒ,lòng ruột (thú)
garden,gɑ:dn,vườn
gas,gæs,khí hơi đốt
gasoline (NAmE),gasolin,dầu lửa dầu hỏa xăng
gate,geit,cổng
gather,gæðə,tập hợp; hái lượm thu thập
gear,giə,cơ cấu thiết bị dụng cụ
general,ʤenər(ə)l,chung chung chung; tổng
generally,dʒenərəli,nói chung đại thể
generate,dʒenəreit,sinh đẻ ra
generation,ˌdʒɛnəˈreɪʃən,sự sinh ra sự phát sinh ra; thế hệ đời
generous,´dʒenərəs,rộng lượng khoan hồng hào phóng
generously,dʒenərəsli,rộng lượng hào phóng
gentle,dʒentl,hiền lành dịu dàng nhẹ nhàng
gently,dʤentli,nhẹ nhàng êm ái dịu dàng
gentleman,ˈdʒɛntlmən,người quý phái người thượng lưu
genuine,´dʒenjuin,thành thật chân thật; xác thực
genuinely,´dʒenjuinli,thành thật chân thật
geography,dʒi´ɔgrəfi,địa lý khoa địa lý
get,get,được có được
giant,ˈdʒaiənt,người khổng lồ người phi thường; khổng lồ phi thường
gift,gift,quà tặng
girl,g3:l,con gái
girlfriend,gз:lfrend,bạn gái người yêu
give,giv,cho biếu tặng
glad,glæd,vui lòng sung sướng
glass,glɑ:s,kính thủy tinh cái cốc ly
global v,´gloubl,toàn cầu toàn thể toàn bộ
glove,glʌv,bao tay găng tay
glue,glu:,keo hồ; gắn lại dán bằng keo hồ
gram,græm,đậu xanh
go,gou,đi
god,gɒd,thần Chúa
gold,goʊld,vàng; bằng vàng
good,gud,tốt hay tuyệt; điều tốt điều thiện
goodbye exclamation,¸gud´bai,tạm biệt; lời chào tạm biệt
goods,gudz,của cải tài sản hàng hóa
govern,´gʌvən,cai trị thống trị cầm quyền
government,ˈgʌvərnmənt ˈgʌvərmənt,chính phủ nội các; sự cai trị
governor,´gʌvənə,thủ lĩnh chủ; kẻ thống trị
grab,græb,túm lấy vồ chộp lấy
grade,greɪd,điểm điểm số; phân loại xếp loại
gradual,´grædjuəl,dần dần từng bước một
gradually,grædzuəli,dần dần từ từ
grain,grein,thóc lúa hạt hột; tính chất bản chất
gram (BrE also gramme) (abbr g gm),græm,ngữ pháp
grammar,ˈgræmər,văn phạm
grand,grænd,rộng lớn vĩ đại
grandchild,´græn¸tʃaild,cháu (của ông bà)
granddaughter,grændo:tз,cháu gái
grandfather,´græn¸fa:ðə,ông
grandmother,grænmʌðə,bà
grandparent,´græn¸pɛərənts,ông bà
grandson,´grænsʌn,cháu trai
grant,grα:nt,cho ban cấp; sự cho sự ban sự cấp
grass,grɑ:s,cỏ; bãi cỏ đồng cỏ
grateful,´greitful,biết ơn dễ chịu khoan khoái
grave,greiv,mộ dấu huyền; trang nghiêm nghiêm trọng
gray(NAmE),grei,xám hoa râm (tóc)
grey,grei,xám hoa râm (tóc)
great,greɪt,to lớn vĩ đại
greatly,´greitli,rất lắm; cao thượng cao cả
green,grin,xanh lá cây
grocery (NAmE usually grocery store),´grousəri,cửa hàng tạp phẩm
groceries,ˈgroʊsəri ˈgroʊsri,hàng tạp hóa
ground,graund,mặt đất đất bãi đất
group,gru:p,nhóm
grow,grou,mọc mọc lên
growth,grouθ,sự lớn lên sự phát triển
guarantee,ˌgærənˈti,sự bảo hành bảo lãnh người bảo lãnh; cam đoan bảo đảm
guard,ga:d,cái chắn người bảo vệ; bảo vệ gác canh giữ
guess,ges,đoán phỏng đoán; sự đoán sự ước chừng
guest,gest,khách khách mời
guide,gaɪd,điều chỉ dẫn người hướng dẫn; dẫn đường chỉ đường
guilty,ˈgɪlti,có tội phạm tội tội lỗi
gun,gʌn,súng
guy,gai,bù nhìn anh chàng gã
habit,´hæbit,thói quen tập quán
hair,heə,tóc
hairdresser,heədresə,thợ làm tóc
half,hɑ:f,một nửa phần chia đôi nửa giờ; nửa
hall,hɔ:l,đại sảnh tòa (thị chính) hội trường
hammer,hæmə,búa
hand,hænd,tay bàn tay; trao tay truyền cho
handle,hændl,cầm sờ mó; tay cầm móc quai
hang,hæŋ,treo mắc
happen,hæpən,xảy ra xảy đến
happiness,hæpinis,sự sung sướng hạnh phúc
unhappiness,ʌn´hæpinis,nỗi buồn sự bất hạnh
happy,ˈhæpi,vui sướng hạnh phúc
happily,hæpili,sung sướng hạnh phúc
unhappy,ʌn´hæpi,buồn rầu khốn khổ
hard,ha:d,cứng rắn hà khắc; hết sức cố gắng tích cực
hardly,´ha:dli,khắc nghiệt nghiêm khắc tàn tệ khó khăn
harm,hɑ:m,thiệt hại tổn hao; làm hại gây thiệt hại
harmful,´ha:mful,gây tai hại có hại
harmless,´ha:mlis,không có hại
hat,hæt,cái mũ
hate,heit,ghét; lòng căm ghét thù hận
hatred,heitrid,lòng căm thì sự căm ghét
have auxiliary,hæv həv,có
he,hi:,nó anh ấy ông ấy
head,hed,cái đầu (người thú); chỉ huy lãnh đại dẫn đầu
headache,hedeik,chứng nhức đầu
heal,hi:l,chữa khỏi làm lành
health,hɛlθ,sức khỏe thể chất sự lành mạnh
healthy,helθi,khỏe mạnh lành mạnh
hear,hiə,nghe
hearing,ˈhɪərɪŋ,sự nghe thính giác
heart,hɑ:t,tim trái tim
heat,hi:t,hơi nóng sức nóng
heating,hi:tiη,sự đốt nóng sự làm nóng
heaven,ˈhɛvən,thiên đường
heavy,hevi,nặng nặng nề
heavily,´hevili,nặng nặng nề
heel,hi:l,gót chân
height,hait,chiều cao độ cao; đỉnh điểm cao
hell,hel,địa ngục
hello exclamation,hз'lou,chào xin chào; lời chào
help,help,giúp đỡ; sự giúp đỡ
helpful,´helpful,có ích; giúp đỡ
hence,hens,sau đây kể từ đây; do đó vì thế
her,hз:,nó chị ấy cô ấy bà ấy
hers,hə:z,cái của nó cái của cô ấy cái của chị ấy cái của bà ấy
here,hiə,đây ở đây
hero,hiərou,người anh hùng
herself,hə:´self,chính nó chính cô ta chính chị ta chính bà ta
hesitate,heziteit,ngập ngừng do dự
hi exclamation,hai,xin chào
hide,haid,trốn ẩn nấp; che giấu
high,hai,cao ở mức độ cao
highly,´haili,tốt cao; hết sức ở mức độ cao
highlight,ˈhaɪˌlaɪt,làm nổi bật nêu bật; chỗ nổi bật nhất đẹp sáng nhất
highway (especially NAmE),´haiwei,đường quốc lộ
hill,hil,đồi
him,him,nó hắn ông ấy anh ấy
himself,him´self,chính nó chính hắn chính ông ta chính anh ta
hip,hip,hông
hire,haiə,thuê cho thuê (nhà); sự thuê sự cho thuê
his,hiz,của nó của hắn của ông ấy của anh ấy; cái của nó cái của hắn
historical,his'tɔrikəl,lịch sử thuộc lịch sử
history,´histəri,lịch sử sử học
hit,hit,đánh đấm ném trúng; đòn cú đấm
hobby,hɒbi,sở thích riêng
hold,hould,cầm nắm giữ; sự cầm sự nắm giữ
hole,houl,lỗ lỗ trống; hang
holiday,hɔlədi,ngày lễ ngày nghỉ
hollow,hɔlou,rỗng trống rỗng
holy,ˈhoʊli,linh thiêng; sùng đạo
home,hoʊm,nhà; ở tại nhà nước mình
homework,´houm¸wə:k,bài tập về nhà (học sinh) công việc làm ở nhà
honest,ɔnist,lương thiện trung thực chân thật
honestly,ɔnistli,lương thiện trung thực chân thật
honour (BrE) (NAmE honor),onз,danh dự thanh danh lòng kính trọng
hook,huk,cái móc; bản lề; lưỡi câu
hope,houp,hy vọng; nguồn hy vọng
horizontal,hɔri'zɔntl,(thuộc) chân trời ở chân trời; ngang nằm ngang (trục
horn,hɔ:n,sừng (trâu bò)
horror,´hɔrə,điều kinh khủng sự ghê rợn
horse,hɔrs,ngựa
hospital,hɔspitl,bệnh viện nhà thương
host,houst,chủ nhà chủ tiệc; dẫn (ctrình) đăng cai tổ chức (hội nghị )
hot,hɒt,nóng nóng bức
hotel,hou´tel,khách sạn
hour,auз,giờ
house,haus,nhà căn nhà toàn nhà
housing,´hauziη,nơi ăn chốn ở
household,´haushould,hộ gia đình; (thuộc) gia đình
how,hau,thế nào như thế nào làm sao ra sao
however,hau´evə,tuy nhiên tuy vậy dù thế nào
huge,hjuːdʒ,to lớn khổng lồ
human,hju:mən,(thuộc) con người loài người
humorous,´hju:mərəs,hài hước hóm hỉnh
humour (BrE) (NAmE humor),´hju:mə,sự hài hước sự hóm hỉnh
hungry,hΔŋgri,đó
hunt,hʌnt,săn đi săn
hunting,hʌntiɳ,sự đi săn
hurry,ˈhɜri ˈhʌri,sự vội vàng sự gấp rút
hurt,hɜrt,làm bị thương gây thiệt hại
husband,´hʌzbənd,người chồng
ice,ais,băng nước đá
idea,ai'diз,ý tưởng quan niệm
ideal,aɪˈdiəl aɪˈdil,(thuộc) quan niệm tư tưởng; lý tưởng
ideally,aɪˈdiəli,lý tưởng đúng như lý tưởng
identify,ai'dentifai,nhận biết nhận ra nhận dạng
identity,aɪˈdɛntɪti,cá tính nét nhận dạng; tính đồng nhất giống hệt
if,if,nếu nếu như
ignore,ig'no:(r),phớt lờ tỏ ra không biết đến
ill (especially BrE),il,ốm
illegal,i´li:gl,trái luật bất hợp pháp
illegally,i´li:gəli,trái luật bất hợp pháp
illness,´ilnis,sự đau yếu ốm bệnh tật
illustrate,´ilə¸streit,minh họa làm rõ ý
image,´imidʒ,ảnh hình ảnh
imaginary,i´mædʒinəri,tưởng tượng ảo
imagination,imædʤi'neiʃn,trí tưởng tượng sự tưởng tượng
imagine,i'mæʤin,tưởng tượng hình dung; tưởng rằng cho rằng
immediate,i'mi:djət,lập tức tức thì
immediately,i'mi:djətli,ngay lập tức
immoral,i´mɔrəl,trái đạo đức luân lý; xấu xa
impact,ˈɪmpækt,sự và chạm sự tác động ảnh hưởng
impatient,im'peiʃən,thiếu kiên nhẫn nóng vội
impatiently,im'pei∫зns,nóng lòng sốt ruột
implication,¸impli´keiʃən,sự lôi kéo sự liên can điều gợi ý
imply,im'plai,ngụ ý bao hàm
importance,im'pɔ:təns,sự quan trọng tầm quan trọng
important,im'pɔ:tənt,quan trọng hệ trọng
importantly,im'pɔ:təntli,quan trọng trọng yếu
unimportant,¸ʌnim´pɔ:tənt,khônh quan trọng không trọng đại
impose,im'pouz,đánh (thuế) bắt gánh vác; đánh tráo lợi dụng
impossible,im'pɔsəbl,không thể làm được không thể xảy ra
impress,im'pres,ghi khắc in sâu vào; gây ấn tượng làm cảm động
impression,ɪmˈprɛʃən,ấn tượng cảm giác; sự in đóng dấu
impressive,im'presiv,gấy ấn tượng mạnh; hùng vĩ oai vệ
improve,im'pru:v,cải thiện cái tiến mở mang
improvement,im'pru:vmənt,sự cái thiện sự cải tiến sự mở mang
in,in,ở tại trong; vào
inability,¸inə´biliti,sự bất lực bất tài
inch,intʃ,insơ (đơn vị đo chiều dài Anh bằng 2 54 cm)
incident,´insidənt,việc xảy ra việc có liên quan
include,in'klu:d,bao gồm tính cả
including,in´klu:diη,bao gồm kể cả
income,inkəm,lợi tức thu nhập
increase,in'kri:s,or
increasingly,in´kri:siηli,tăng thêm
indeed,ɪnˈdid,thật vậy quả thật
independence,indi'pendəns,sự độc lập nền độc lập
independent,indi'pendənt,độc lập
independently,indi'pendзntli,độc lập
index,indeks,chỉ số sự biểu thị
indicate,´indikeit,chỉ cho biết; biểu thị trình bày ngắn gọn
indication,indi'kei∫n,sự chỉ sự biểu thị sự biểu lộ
indirect,¸indi´rekt,gián tiếp
indirectly,indi'rektli,gián tiếp
individual,indivídʤuəl,riêng riêng biệt; cá nhân
indoors,¸in´dɔ:z,ở trong nhà
indoor,´in¸dɔ:,trong nhà
industrial,in´dʌstriəl,(thuộc) công nghiệp kỹ nghệ
industry,indəstri,công nghiệp kỹ nghệ
inevitable,in´evitəbl,không thể tránh được chắc chắn xảy ra; vẫn thường thấy
inevitably,in’evitəbli,chắc chắn
infect,in'fekt,nhiễm tiêm nhiễm đầu độc lan truyền
infection,in'fekʃn,sự nhiễm sự đầu độc
infectious,in´fekʃəs,lây nhiễm
influence,ˈɪnfluəns,sự ảnh hưởng sự tác dụng; ảnh hưởng tác động
inform,in'fo:m,báo cho biết cung cấp tin tức
informal,in´fɔ:məl,không chính thức không nghi thức
information,infə'meinʃn,tin tức tài liệu kiến thức
ingredient,in'gri:diənt,phần hợp thành thành phần
initial,i'ni∫зl,ban đầu lúc đầu; chữ đầu (của 1 tên gọi)
initially,i´niʃəli,vào lúc ban đầu ban đầu
initiative,ɪˈnɪʃiətɪv ɪˈnɪʃətɪv,bước đầu sự khởi đầu
injure,in'dӡə(r),làm tổn thương làm hại xúc phạm
injured,´indʒə:d,bị tổn thương bị xúc phạm
injury,indʤəri,sự làm tổn thương làm hại; điều hại điều tổn hại
ink,iηk,mực
inner,inə,ở trong nội bộ; thân cận
innocent,inəsnt,vô tội trong trắng ngây thơ
(enquiry,in'kwaiəri,sự điều tra sự thẩm vấn)
insect,insekt,sâu bọ côn trùng
insert,insə:t,chèn vào lồng vào
inside,in'said,mặt trong phía phần trong; ở trong nội bộ
insist (on),in'sist,cứ nhất định cứ khăng khăng
install,in'stɔ:l,đặt (hệ thống máy móc thiết bị)
instance,instəns,thí dị ví dụ; trường hợp cá biệt
instead,in'sted,để thay thế
institute,ˈ´institju:t,viện học viện
institution,UK insti'tju:ʃn ; US insti'tu:ʃn,sự thành lập lập; cơ quan trụ sở
instruction,ɪn'strʌkʃn,sự dạy tài liệu cung cấp
instrument,instrumənt,dụng cụ âm nhạc khí
insult,insʌlt,lăng mạ xỉ nhục; lời lăng mạ sự xỉ nhục
insulting,in´sʌltiη,lăng mạ xỉ nhục
insurance,in'ʃuərəns,sự bảo hiểm
intelligence,in'telidʒəns,sự hiểu biết trí thông minh
intelligent,inteli'dЗen∫зl,thông minh sáng trí
intend,in'tend,ý định có ý định
intended,in´tendid,có ý định có dụng ý
intention,in'tenʃn,ý định mục đích
interest,ˈɪntərest,or
interesting,intristiŋ,làm thích thú làm quan tâm làm chú ý
interior,in'teriə,phần trong phía trong; ở trong ở phía trong
internal,in'tə:nl,ở trong bên trong nội địa
international,intə'næʃən(ə)l,quốc tế
internet,intənet,liên mạng
interpret,in'tз:prit,giải thích
interpretation,intə:pri'teiʃn,sự giải thích
interrupt,ɪntǝ'rʌpt,làm gián đoạn ngắt lời
interruption,intə'rʌp∫n,sự gián đoạn sự ngắt lời
interval,ˈɪntərvəl,khoảng (k-tgian) khoảng cách
interview,intəvju:,cuộc phỏng vấn sự gặp mặt; phỏng vấn nói chuyện riêng
into,intu,or
introduce,intrədju:s,giới thiệu
introduction,¸intrə´dʌkʃən,sự giới thiệu lời giới thiệu
invent,in'vent,phát minh sáng chế
invention,ɪnˈvɛnʃən,sự phát minh sự sáng chế
invest,in'vest,đầu tư
investigate,in'vestigeit,điều tra nghiên cứu
investigation,in¸vesti´geiʃən,sự điều tra nghiên cứu
investment,in'vestmənt,sự đầu tư vốn đầu tư
invitation,invi'teiʃn,lời mời sự mời
invite,in'vait,mời
involve,ɪnˈvɒlv,bao gồm bao hàm; thu hút dồn tâm trí
involvement,in'vɔlvmənt,sự gồm sự bao hàm; sự để dồn hết tâm trí vào
iron,aɪən,sắt; bọc sắt
irritate,´iri¸teit,làm phát cáu chọc tức
irritating,´iriteitiη,làm phát cáu chọc tức
irritated,iriteitid,tức giận cáu tiết
island,´ailənd,hòn đảo
issue,ɪʃuː; BrE also ɪsjuː,sự phát ra sự phát sinh; phát hành đưa ra
it,it,cái đó điều đó con vật đó
its,its,của cái đó của điều đó của con vật đó; cái của điều đó cái của con vật
item,aitəm,tin tức; khoả mó tiết mục
itself,it´self,chính cái đó chính điều đó chính con vật đó
jacket,dʤækit,áo vét
jam,dʒæm,mứt
January (abbr Ja),ʤænjuəri,tháng giêng
jealous,ʤeləs,ghen ghen tị
jeans,dЗeins,quần bò quần zin
jelly,´dʒeli,thạch
jewellery (BrE) (NAmE jewelry),dʤu:əlri,nữ trang kim hoàn
job,dʒɔb,việc việc làm
join,ʤɔin,gia nhập tham gia; nối chắp ghép
joint,dʒɔɪnt,chung (giữa 2 người hoặc hơn); chỗ nối đầu nối
jointly,ˈdʒɔɪntli,cùng nhau cùng chung
joke,dʒouk,trò cười lời nói đùa; nói đùa giễu cợt
journalist,´dʒə:nəlist,nhà báo
journey,dʤə:ni,cuộc hành trình (đường bộ); quãng đường chặng đường đi
joy,dʒɔɪ,niềm vui sự vui mừng
judge,dʒʌdʒ,xét xử phân xử; quan tòa thẩm phán
judgement (also judgment especially in NAmE),dʤʌdʤmənt,sự xét xử
juice,ʤu:s,nước ép (rau củ quả)
July (abbr Jul),dʒu´lai,tháng 7
jump,dʒʌmp,nhảy; sự nhảy bước nhảy
June (abbr Ju),dЗu:n,tháng 6
junior,´dʒu:niə,trẻ hơn ít tuổi hơn; người ít tuổi hơn
just,dʤʌst,đúng vừa đủ; vừa mới chỉ
justice,dʤʌstis,sự công bằng
justify,´dʒʌsti¸fai,bào chữa biện hộ
justified,dʒʌstɪfaɪd,hợp lý được chứng minh là đúng
keen,ki:n,sắc bén
keep,ki:p,giữ giữ lại
key,ki:,chìa khóa khóa thuộc (khóa)
keyboard,ki:bɔ:d,bàn phím
kick,kick,đá; cú đá
kid,kid,con dê non
kill,kil,giết tiêu diệt
killing,´kiliη,sự giết chóc sự tàn sát
kilogram (BrE also kilogramme) (also kilo) (abbr kg),´kilou¸græm,Kilôgam
kilometre (BrE) (NAmE kilometer) (abbr k km),´kilə¸mi:tə,Kilômet
kind,kaind,loại giống; tử tế có lòng tốt
kindly,´kaindli,tử tế tốt bụng
unkind,ʌn´kaind,độc ác tàn nhẫn
kindness,kaindnis,sự tử tế lòng tốt
king,kiɳ,vua quốc vương
kiss,kis,hôn cái hôn
kitchen,´kitʃin,bếp
kilometre,´kilə¸mi:tə,Kilômet
knee,ni:,đầu gối
knife,naif,con dao
knit,nit,đan thêu
knitted,nitid,được đan được thêu
knitting,´nitiη,việc đan; hàng dệt kim
knock,nɔk,đánh đập; cú đánh
knot,nɔt,cái nơ; điểm nút điểm trung tâm
know,nou,biết
unknown,ʌn'noun,không biết
well known,´wel´noun,nổi tiếng được nhiều người biết đến
knowledge,nɒliʤ,sự hiểu biết tri thức
litre,´li:tə,lít
label,leibl,nhãn mác; dán nhãn ghi mác
laboratory lab,ˈlæbrəˌtɔri,phòng thí nghiệm
labour (BrE) (NAmE labor),leibз,lao động; công việc
lack,læk,sự thiếu; thiếu
lacking,lækiη,ngu đần ngây ngô
lady,ˈleɪdi,người yêu vợ quý bà tiểu thư
lake,leik,hồ
lamp,læmp,đèn
land,lænd,đất đất canh tác đất đai
landscape,lændskeip,phong cảnh
lane,lein,đường nhỏ (làng hẻm phố)
language,ˈlæŋgwɪdʒ,ngôn ngữ
large,la:dʒ,rộng lớn to
largely,´la:dʒli,phong phú ở mức độ lớn
last,lɑ:st,lầm cuối sau cùng; người cuối cùng; cuối cùng rốt hết;
late,leit,trễ muộn
later,leɪtə(r),chậm hơn
latest,leitist,muộn nhất chậm nhất gần đây nhất
latter,´lætə,sau cùng gần đây mới đây
laugh,lɑ:f,cười; tiếng cười
launch,lɔ:ntʃ,hạ thủy (tàu); khai trương; sự hạ thủy buổi giới thiệu sản phầm
law,lo:,luật
